id,true_target_has_exit,true_target_has_round,true_target_funding_delta_upper_q,true_target_valuation_delta_upper_q,true_target_employee_delta_upper_q,proba_target_has_exit,proba_target_has_round,proba_target_funding_delta_upper_q,proba_target_valuation_delta_upper_q,proba_target_employee_delta_upper_q,pred_target_has_exit,pred_target_has_round,pred_target_funding_delta_upper_q,pred_target_valuation_delta_upper_q,pred_target_employee_delta_upper_q,avg_true,avg_proba,avg_pred,name,valuation_usd,company_status,ID,Total funding (USD M),Employees latest number
870480,0.0,0.0,,,0.3333333333333333,0.4771096110343933,0.5505322813987732,,,0.6093423366546631,0.0,1.0,,,0.6666666666666666,0.1111111111111111,0.5456614096959432,0.5555555555555555,hello energy,5500000.0,operational,870480,1.1,17.0
870662,1.0,1.0,0.3333333333333333,,0.3333333333333333,0.4089047908782959,0.4691668748855591,0.26228915154933924,,0.3315544575452804,0.0,1.0,0.3333333333333333,,0.3333333333333333,0.6666666666666667,0.3679788187146187,0.41666666666666663,Aevi,,operational,870662,33.0,203.0
871729,0.0,1.0,0.8333333333333334,1.0,0.0,0.38889094193776447,0.560562789440155,0.5179322610298792,0.44120559593041736,0.31369638111856246,0.0,1.0,0.5,0.5,0.2222222222222222,0.5666666666666667,0.4444575938913557,0.4444444444444445,Anvajo,97350000.0,operational,871729,19.47,49.0
871992,0.3333333333333333,0.3333333333333333,,,0.1111111111111111,0.4720702071984609,0.511639396349589,,,0.462524950504303,0.0,1.0,,,0.4444444444444444,0.25925925925925924,0.4820781846841176,0.48148148148148145,Widget Brain,11050000.0,acquired,871992,2.21,13.0
872061,0.0,0.0,,,0.0,0.602016806602478,0.2537928223609924,,,0.4298355082670848,1.0,1.0,,,0.3333333333333333,0.0,0.4285483790768518,0.7777777777777778,MyMOWO,3850000.0,operational,872061,1.5,8.0
873677,0.0,1.0,0.3333333333333333,0.0,0.3333333333333333,0.5221529006958008,0.5044796764850616,0.6625040272871653,0.5310464054346085,0.5782937357823054,0.5,1.0,0.6666666666666666,0.5,0.6666666666666666,0.3333333333333333,0.5596953491369883,0.6666666666666666,Fast Travel Games,20000000.0,operational,873677,9.87,32.0
873740,0.0,0.5,0.0,,0.0,0.471061646938324,0.5367649495601654,0.2646065304676692,,0.4081526497999827,0.0,1.0,0.3333333333333333,,0.3333333333333333,0.125,0.42014644419153535,0.41666666666666663,Route42,,operational,873740,0.88,9.0
874125,0.0,0.0,,,0.3333333333333333,0.5508810877799988,0.5546900629997253,,,0.3684881975253423,0.0,1.0,,,0.6666666666666666,0.1111111111111111,0.4913531161016888,0.5555555555555555,mozzeno,16500000.0,operational,874125,4.92,37.0
874461,0.0,0.0,,,,0.5024517178535461,0.5845780670642853,,,,0.5,1.0,,,,0.0,0.5435148924589157,0.75,Parlamind,8250000.0,operational,874461,1.65,
875135,0.0,0.0,,,0.0,0.341741532087326,0.5840026140213013,,,0.46091251571973163,1.0,1.0,,,0.3333333333333333,0.0,0.46221888727611965,0.7777777777777778,store2be,3850000.0,operational,875135,0.77,1.0
877386,0.0,0.0,,,0.0,0.453207716345787,0.5402922332286835,,,0.3772398829460144,0.0,1.0,,,0.3333333333333333,0.0,0.4569132775068283,0.4444444444444444,MyMonii,1000000.0,operational,877386,0.5,1.0
877802,0.0,0.0,,,0.0,0.533670574426651,0.5112607777118683,,,0.5631214082241058,0.5,1.0,,,0.8333333333333334,0.0,0.5360175867875417,0.7777777777777778,ShareACamper,11000000.0,acquired,877802,2.2,3.0
877889,0.0,0.0,,,,0.5316458642482758,0.4279371500015259,,,,0.5,0.5,,,,0.0,0.4797915071249008,0.5,Session (formerly Auddly),7260726.0,operational,877889,3.76,1.0
877994,0.0,0.5,,,0.0,0.35715216398239136,0.5751547515392303,,,0.347801148891449,0.0,1.0,,,0.0,0.16666666666666666,0.42670268813769024,0.3333333333333333,Pharmacytics,715000.0,operational,877994,0.14,6.0
880671,0.0,0.0,,,0.0,0.3916506171226501,0.4355302155017853,,,0.31460780898729956,1.0,1.0,,,0.0,0.0,0.3805962138705783,0.6666666666666666,Kontena,5500000.0,acquired,880671,1.1,3.0
882445,0.0,1.0,0.3333333333333333,0.0,0.16666666666666666,0.553945004940033,0.4350838214159012,0.6535703738530477,0.5338554879029592,0.617296834786733,0.5,1.0,0.6666666666666666,0.6666666666666666,0.5,0.3,0.5587503045797348,0.6666666666666666,Convious,60000000.0,operational,882445,24.96,40.0
883026,0.0,0.0,,,0.0,0.5601038336753845,0.5036293268203735,,,0.24091118574142448,0.0,1.0,,,0.0,0.0,0.43488144874572754,0.3333333333333333,MovieMask,83498.5,operational,883026,0.1,5.0
883400,0.0,1.0,,0.0,0.0,0.3149574995040893,0.6544807553291321,,0.4295081893603007,0.28543793658415473,1.0,1.0,,0.0,0.0,0.25,0.42109609519441926,0.5,ClevAir,12000000.0,operational,883400,0.8,3.0
883760,0.0,0.0,,,0.3333333333333333,0.3440764844417572,0.4640549421310425,,,0.5279740492502848,0.0,1.0,,,0.6666666666666666,0.1111111111111111,0.4453684919410281,0.5555555555555555,Healthy Workers,8250000.0,operational,883760,3.96,38.0
884569,0.0,0.0,,,0.0,0.534776046872139,0.2710617780685425,,,0.4016537368297577,0.5,0.0,,,0.5,0.0,0.40249718725681305,0.3333333333333333,AirGateway,3300000.0,operational,884569,1.76,20.0
884742,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.7427624464035034,0.6136057376861572,0.7767658233642578,0.7646971344947815,0.6097002724806467,1.0,1.0,1.0,1.0,0.6666666666666666,0.8666666666666666,0.7015062828858694,0.9333333333333333,Pair Finance,110000000.0,acquired,884742,9.13,239.0
885794,0.0,0.0,,,0.0,0.43888624012470245,0.5059239119291306,,,0.4831218123435974,0.0,1.0,,,0.5,0.0,0.4759773214658101,0.5,LENEO,,operational,885794,3.8,11.0
885853,0.0,0.0,,,0.0,0.5379615426063538,0.4231356382369995,,,0.5274223585923513,0.0,1.0,,,0.6666666666666666,0.0,0.49617317981190157,0.5555555555555555,Sviper,14000000.0,acquired,885853,4.3,29.0
886406,0.0,0.5,0.3333333333333333,0.0,0.0,0.5129872933030128,0.45723832398653025,0.6988071302572886,0.5053344890475273,0.6476719155907631,0.0,1.0,0.8333333333333334,0.8333333333333334,0.5833333333333334,0.16666666666666666,0.5644078304370244,0.6500000000000001,Ikbenfrits,11000000.0,operational,886406,11.22,57.0
886685,0.0,0.5,0.0,0.0,0.3333333333333333,0.42445272207260126,0.5162173509597778,0.30482146888971323,0.4092298597097397,0.33278869775434333,0.0,1.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.3975020198772351,0.26666666666666666,CHAOS,11000000.0,operational,886685,4.46,23.0
886688,0.0,1.0,0.0,0.0,0.3333333333333333,0.5896391272544861,0.5138810724020004,0.4336540699005127,0.3943928877512614,0.5663858105738958,0.5,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.26666666666666666,0.49959059357643126,0.5666666666666667,Choicely,2750000.0,operational,886688,5.94,27.0
886741,0.6666666666666666,0.6666666666666666,,,,0.42870203653971356,0.449842353661855,,,,0.0,1.0,,,,0.6666666666666666,0.4392721951007843,0.5,Ment (formerlyntract Mill),5500000.0,acquired,886741,1.1,
886747,0.0,0.0,,,0.0,0.5385024547576904,0.5425109267234802,,,0.34777577718098956,0.0,1.0,,,0.0,0.0,0.47626305288738674,0.3333333333333333,Correlate AS,4950000.0,operational,886747,1.18,10.0
886825,0.0,1.0,1.0,1.0,1.0,0.6321262121200562,0.6566089987754822,0.6380134622255961,0.5381233890851339,0.6357219219207764,1.0,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.8,0.6201187968254089,0.7333333333333333,Aiven,3000000000.0,operational,886825,420.0,440.0
886829,1.0,1.0,,,0.0,0.4457809329032898,0.5085977762937546,,,0.34497495368123055,0.0,1.0,,,0.5,0.6666666666666666,0.43311788762609166,0.5,Akkurate,2750000.0,acquired,886829,1.87,16.0
886888,0.0,0.0,,,1.0,0.3800567090511322,0.5104595124721527,,,0.44396308064460754,0.0,1.0,,,0.5,0.3333333333333333,0.44482643405596417,0.5,Auntie Solutions,,operational,886888,11.0,103.0
886905,0.0,0.0,,,0.0,0.3168261647224426,0.6370497941970825,,,0.3457574049631755,1.0,1.0,,,0.3333333333333333,0.0,0.43321112129423356,0.7777777777777778,Bankify,3500000.0,operational,886905,1.43,3.0
