id,true_target_has_exit,true_target_has_round,true_target_funding_delta_upper_q,true_target_valuation_delta_upper_q,true_target_employee_delta_upper_q,proba_target_has_exit,proba_target_has_round,proba_target_funding_delta_upper_q,proba_target_valuation_delta_upper_q,proba_target_employee_delta_upper_q,pred_target_has_exit,pred_target_has_round,pred_target_funding_delta_upper_q,pred_target_valuation_delta_upper_q,pred_target_employee_delta_upper_q,avg_true,avg_proba,avg_pred,name,valuation_usd,company_status,ID,Total funding (USD M),Employees latest number
862353,0.0,0.0,,,,0.18198645891000823,0.2738436279663195,,,,0.0,0.3333333333333333,,,,0.0,0.22791504343816388,0.16666666666666666,OEEX,,closed,862353,0.09,
862355,0.0,0.2857142857142857,0.0,,,0.42106261370437487,0.5884402674689356,0.29949567715326947,,,0.0,0.8571428571428571,0.16666666666666666,,,0.09523809523809523,0.43633285277552664,0.3412698412698412,swocket,,operational,862355,0.06,
862424,0.0,1.0,0.3333333333333333,0.3333333333333333,0.7777777777777778,0.73016885916392,0.8727153340975443,0.43483873705069226,0.4745115397704972,0.5692827436659071,0.6666666666666666,1.0,0.4444444444444444,0.5555555555555556,0.6666666666666666,0.4888888888888888,0.6163034427497122,0.6666666666666665,Worldfavor,56100000.0,operational,862424,15.79,48.0
862719,0.0,0.0,,,0.0,0.262704337015748,0.27420708036515856,,,0.24398008485635123,0.0,0.5,,,0.0,0.0,0.2602971674124193,0.16666666666666666,SmartOcto,550000.0,operational,862719,0.11,40.0
863052,0.0,1.0,0.0,,0.16666666666666666,0.5582582553227743,0.7811348736286163,0.3878119324644407,,0.37101154401898384,0.0,1.0,0.4,,0.3888888888888889,0.2916666666666667,0.5245541513587038,0.4472222222222222,Breeze Technologies,,operational,863052,0.39,9.0
863091,0.0,0.5,0.0,0.0,0.0,0.5708126723766327,0.7630172371864319,0.5543544292449951,0.5112238625685374,0.5875168194373449,0.0,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.1,0.5973850041627884,0.5333333333333333,Sentibar,1650000.0,operational,863091,0.11,2.0
863097,0.0,0.25,0.0,,0.0,0.20855842425953594,0.23291062685893846,0.10615057249863936,,0.19258340944846467,0.0,0.25,0.0,,0.0,0.0625,0.1850507582663946,0.0625,BucketList,,operational,863097,0.11,1.0
863263,0.0,1.0,0.0,0.0,0.08333333333333333,0.47875238955020905,0.7515301406383514,0.3842378705739975,0.46284772207339603,0.47122162704666454,0.0,1.0,0.25,0.4166666666666667,0.5833333333333334,0.21666666666666665,0.5097179499765238,0.45,Project LooX,3740000.0,operational,863263,1.08,13.0
863285,0.0,0.5,,,0.0,0.190958087798208,0.28370005777105683,,,0.31600974500179285,0.0,0.5,,,0.0,0.16666666666666666,0.2635559635236859,0.16666666666666666,binee,,operational,863285,0.06,1.0
863584,0.0,1.0,1.0,1.0,1.0,0.5385461250940958,0.8384285569190979,0.7696972621811761,0.676128884156545,0.7318481471803453,0.0,1.0,0.8888888888888888,1.0,1.0,0.8,0.7109297951062521,0.7777777777777778,Picnic,3300000000.0,operational,863584,1853.5,3289.0
